income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
69501,2,2,180,2,2,1,75,1,5,1,3.13
83651,2,2,360,2,2,1,61,2,5,1,4.25
118508,2,2,180,2,2,1,60,1,5,1,3.63
80664,1,2,360,2,2,2,46,1,3,1,4.13
75192,2,2,360,2,2,2,65,1,3,1,4.38
52359,1,2,360,2,2,1,60,1,3,1,4
59969,1,2,360,2,1,1,44,1,4,1,4.13
78702,2,2,360,2,2,2,56,1,4,1,4.5
129693,2,2,360,2,2,1,45,1,4,1,4.13
31304,1,2,360,2,1,1,32,1,4,1,3.88
114396,1,2,360,2,2,1,32,1,4,1,4.38
100032,1,2,360,2,2,1,34,1,4,6,4.25
59952,2,2,240,2,2,2,47,1,4,1,3.88
59073,2,2,180,2,2,1,68,1,4,7,3.25
127487,2,2,180,2,2,1,62,1,4,1,3.63
40686,2,2,180,2,2,2,52,1,4,1,3.5
76325,2,2,360,2,2,1,37,2,4,1,4
46992,1,2,360,2,1,1,24,1,4,1,4.38
105240,2,2,360,2,2,2,60,1,4,1,4.38
118296,2,2,360,2,2,1,38,1,4,2,4.13
175916,1,2,360,2,2,3,99,2,4,1,4.25
32052,1,2,360,2,1,1,30,1,5,1,4.38
45760,2,2,360,2,2,1,32,1,5,1,4.5
74698,1,2,360,2,2,2,58,1,5,7,4.38
75840,1,2,360,2,2,2,52,1,5,1,4
64703,2,2,360,2,2,2,69,1,5,7,4.5
38052,2,2,300,2,2,1,56,1,5,1,4.38
66031,2,2,360,2,2,3,70,1,5,2,4.38
192000,1,2,360,2,2,2,37,1,5,1,4.13
75000,1,2,360,2,1,1,36,1,5,1,4.25
57036,2,2,360,2,2,2,40,1,5,2,4.25
59509,2,2,180,2,2,1,45,1,5,1,3
76934,1,2,360,2,1,1,42,1,5,2,3.88
82105,1,2,360,2,2,3,60,1,5,1,4.13
